time,GM_main,baseforce,acc_2,acc_4,acc_6,acc_8,acc_10,vel_2,vel_4,vel_6,vel_8,vel_10,dis_2,dis_4,dis_6,dis_8,dis_10
0.0,4.668050399999999e-05,42.1878,-0.000879726,-0.000936849,-0.00093841,-0.000938451,-0.000938454,-8.79726e-06,-9.36849e-06,-9.3841e-06,-9.38451e-06,-9.38454e-06,-8.79726e-08,-9.36849e-08,-9.3841e-08,-9.38451e-08,-9.38454e-08
0.02,0.0009449688,153.625,-0.000129169,-0.000385368,-0.000400496,-0.000401111,-0.000401169,-1.88862e-05,-2.25907e-05,-2.27732e-05,-2.27801e-05,-2.27808e-05,-3.64807e-07,-4.13277e-07,-4.15414e-07,-4.15492e-07,-4.15499e-07
0.04,0.00041699129999999996,239.377,0.000629772,0.000223696,0.000158006,0.000153747,0.000153226,-1.38802e-05,-2.42074e-05,-2.51981e-05,-2.52538e-05,-2.52602e-05,-6.92471e-07,-8.81257e-07,-8.95126e-07,-8.95831e-07,-8.95909e-07
0.06,-0.00013558655999999997,267.878,-0.000200104,-0.000365296,-0.000530482,-0.000548735,-0.000551621,-9.5835e-06,-2.56234e-05,-2.89228e-05,-2.92036e-05,-2.92442e-05,-9.27108e-07,-1.37957e-06,-1.43633e-06,-1.4404e-06,-1.44095e-06
0.08,0.0005726943,386.736,-0.00127235,-0.0011053,-0.00136161,-0.00141525,-0.00142637,-2.43081e-05,-4.03294e-05,-4.78437e-05,-4.88435e-05,-4.9024e-05,-1.26602e-06,-2.03909e-06,-2.204e-06,-2.22088e-06,-2.22363e-06
0.1,0.0014644497,593.6,0.000589075,0.000546249,0.000313564,0.000200698,0.000169404,-3.11409e-05,-4.59199e-05,-5.83241e-05,-6.0989e-05,-6.15936e-05,-1.82051e-06,-2.90159e-06,-3.26568e-06,-3.3192e-06,-3.32981e-06
0.12,-0.00011046957,632.815,0.00215241,0.00184535,0.00176286,0.00159201,0.00152664,-3.72603e-06,-2.2004e-05,-3.75598e-05,-4.30619e-05,-4.46332e-05,-2.16918e-06,-3.58083e-06,-4.22452e-06,-4.35971e-06,-4.39208e-06
0.14,-0.0014446056,422.421,0.00138746,0.00182791,0.00188871,0.00171127,0.00161187,3.16727e-05,1.47286e-05,-1.04408e-06,-1.00291e-05,-1.32482e-05,-1.88972e-06,-3.65358e-06,-4.61056e-06,-4.89062e-06,-4.97089e-06
0.16,-0.0014722629,176.306,-0.000325643,0.00127317,0.00141523,0.00131684,0.00121698,4.22909e-05,4.57394e-05,3.19954e-05,2.0252e-05,1.50402e-05,-1.15008e-06,-3.0489e-06,-4.30104e-06,-4.78839e-06,-4.95297e-06
0.18,-0.0009534296999999999,78.1192,-0.00147428,-9.196e-05,0.000257683,0.00030557,0.000269822,2.42916e-05,5.75515e-05,4.87246e-05,3.64761e-05,2.99083e-05,-4.84256e-07,-2.01599e-06,-3.49384e-06,-4.22111e-06,-4.50349e-06
0.2,0.00018793755,104.269,-0.000563539,-0.000843063,-5.25393e-05,0.000169299,0.000253392,3.91342e-06,4.82013e-05,5.0776e-05,4.12248e-05,3.51404e-05,-2.02205e-07,-9.58463e-07,-2.49884e-06,-3.4441e-06,-3.853e-06
0.22,0.00042172307999999994,94.1888,0.000676521,-0.00075562,0.000314386,0.000738478,0.000945714,5.04324e-06,3.22145e-05,5.33945e-05,5.03026e-05,4.71315e-05,-1.12639e-07,-1.54306e-07,-1.45713e-06,-2.52883e-06,-3.03028e-06
0.24,-0.00012054308999999998,-63.6375,0.00100846,0.000168554,0.000789887,0.00144538,0.00173586,2.1893e-05,2.63438e-05,6.44372e-05,7.21411e-05,7.39472e-05,1.56724e-07,4.31277e-07,-2.78815e-07,-1.30439e-06,-1.8195e-06
0.26,-0.0009137415,-339.722,0.000903339,0.00153071,0.00111683,0.00189793,0.00223735,4.1011e-05,4.33364e-05,8.35044e-05,0.000105574,0.000113679,7.85764e-07,1.12808e-06,1.2006e-06,4.72765e-07,5.67659e-08
0.28,-0.0016224884999999998,-630.671,0.000221585,0.00167495,0.000626106,0.00116957,0.00151728,5.22602e-05,7.5393e-05,0.000100934,0.000136249,0.000151225,1.71848e-06,2.31537e-06,3.04498e-06,2.891e-06,2.70581e-06
0.3,-0.0013279226999999998,-840.732,-0.000783013,0.00025794,-0.000271686,-0.000402925,-0.000193959,4.6646e-05,9.4722e-05,0.000104478,0.000143916,0.000164459,2.70754e-06,4.01652e-06,5.0991e-06,5.69265e-06,5.86265e-06
0.32,-0.0002367165,-928.309,-0.00155429,-0.0017732,-0.00110984,-0.00196988,-0.00216299,2.3273e-05,7.95693e-05,9.06627e-05,0.000120188,0.000140889,3.40673e-06,5.75944e-06,7.05051e-06,8.33368e-06,8.91613e-06
0.34,0.0010284354,-944.14,-0.000539951,-0.00193145,-0.000696316,-0.00173939,-0.00245432,2.33059e-06,4.25228e-05,7.26011e-05,8.30951e-05,9.4716e-05,3.66276e-06,6.98036e-06,8.68314e-06,1.03665e-05,1.12722e-05
0.36,0.0007806110999999999,-1001.98,0.000663686,-0.000819619,-0.000359564,-0.000860753,-0.00174423,3.56794e-06,1.50122e-05,6.20423e-05,5.70937e-05,5.27304e-05,3.72175e-06,7.55571e-06,1.00296e-05,1.17684e-05,1.27466e-05
