time,GM_main,baseforce,acc_2,acc_4,acc_6,acc_8,acc_10,vel_2,vel_4,vel_6,vel_8,vel_10,dis_2,dis_4,dis_6,dis_8,dis_10
0.0,0.005123918999999999,-827.108,0.0172474,0.0183673,0.0183979,0.0183987,0.0183987,0.000172474,0.000183673,0.000183979,0.000183987,0.000183987,1.72474e-06,1.83673e-06,1.83979e-06,1.83987e-06,1.83987e-06
0.02,-0.018526464,-2903.56,0.000273721,0.00514994,0.00544253,0.00545446,0.00545561,0.000347684,0.000418845,0.000422383,0.000422518,0.000422531,6.92631e-06,7.86191e-06,7.9034e-06,7.90492e-06,7.90506e-06
0.04,-0.005749077,-5386.39,0.0100037,0.01878,0.0200693,0.0201522,0.0201624,0.000450458,0.000658144,0.000677501,0.000678585,0.000678711,1.49077e-05,1.86318e-05,1.89022e-05,1.8916e-05,1.89175e-05
0.06,-0.020635569,-8779.63,0.0126534,0.0217008,0.0251674,0.0255304,0.0255872,0.00067703,0.00106295,0.00112987,0.00113541,0.00113621,2.61826e-05,3.58428e-05,3.69759e-05,3.70559e-05,3.70667e-05
0.08,-0.026390969999999996,-12850.9,-0.00951801,-0.00283169,0.00349544,0.00461186,0.00483603,0.000708384,0.00125164,0.0014165,0.00143683,0.00144044,4.00368e-05,5.89887e-05,6.24396e-05,6.27784e-05,6.28331e-05
0.1,-0.0059161529999999995,-15646.2,-0.00972505,-0.00742544,0.000715219,0.0032667,0.00392714,0.000515953,0.00114907,0.0014586,0.00151562,0.00152807,5.22801e-05,8.29959e-05,9.11905e-05,9.23029e-05,9.25182e-05
0.12,-0.0053148629999999995,-17490.4,-0.00304835,-0.0082591,-0.00121076,0.00322551,0.00471535,0.000388219,0.000992227,0.00145365,0.00158054,0.0016145,6.13219e-05,0.000104409,0.000120313,0.000123265,0.000123944
0.14,-0.006901065,-20287.3,0.011387,0.00188575,0.00447332,0.0102965,0.012875,0.000471606,0.000928493,0.00148627,0.00171576,0.0017904,6.99201e-05,0.000123616,0.000149712,0.000156228,0.000157993
0.16,-0.016962447,-22610.0,-0.030306,-0.0354799,-0.0390949,-0.0337445,-0.0304374,0.000282416,0.000592552,0.00114006,0.00148128,0.00161477,7.74603e-05,0.000138827,0.000175976,0.000188198,0.000192045
0.18,0.022974071999999998,-22526.8,0.00288654,0.00071527,-0.00767954,-0.00551145,-0.0028049,8.22188e-06,0.000244905,0.000672313,0.00108872,0.00128235,8.03667e-05,0.000147201,0.000194099,0.000213898,0.000221016
0.2,-0.010031598,-22378.6,-0.00188054,-0.00935256,-0.0186074,-0.0217586,-0.0215998,1.82819e-05,0.000158532,0.000409444,0.000816023,0.0010383,8.06317e-05,0.000151235,0.000204917,0.000232946,0.000244222
0.22,0.0017264316,-22680.9,-0.00730838,-0.0173546,-0.0244232,-0.0329885,-0.0367343,-7.36073e-05,-0.000108539,-2.08622e-05,0.000268552,0.000454963,8.00785e-05,0.000151735,0.000208803,0.000243791,0.000259155
0.24,0.010190819999999998,-22170.2,0.00453616,0.000390182,-0.00510297,-0.0167737,-0.0238562,-0.00010133,-0.000278184,-0.000316124,-0.00022907,-0.000150942,7.83291e-05,0.000147868,0.000205433,0.000244186,0.000262195
0.26,-0.006695841,-20806.6,-0.0231053,-0.0236719,-0.0301534,-0.0414216,-0.0491399,-0.000287021,-0.000511001,-0.000668687,-0.000811023,-0.000880903,7.44456e-05,0.000139976,0.000195585,0.000233785,0.000251877
0.28,0.019342157999999998,-18874.3,0.0140496,0.00963924,0.00174145,-0.00631426,-0.011351,-0.000377579,-0.000651328,-0.000952806,-0.00128838,-0.00148581,6.77996e-05,0.000128353,0.00017937,0.000212791,0.00022821
0.3,-0.012875204999999999,-18099.7,0.00960248,0.00434925,-0.0025792,-0.00632237,-0.00703101,-0.000141058,-0.000511443,-0.000961184,-0.00141475,-0.00166963,6.26132e-05,0.000116725,0.00016023,0.00018576,0.000196655
0.32,-0.008875172999999998,-18208.7,-0.0020649,0.000238073,-0.00344385,-0.00302444,-0.000503238,-6.56827e-05,-0.00046557,-0.00102141,-0.00150822,-0.00174498,6.05458e-05,0.000106955,0.000140404,0.00015653,0.000162509
0.34,-0.006916467,-17275.9,-0.0109215,-0.00421913,-0.00374468,0.000253047,0.0034417,-0.000195547,-0.000505381,-0.0010933,-0.00153593,-0.00171559,5.79335e-05,9.72457e-05,0.000119257,0.000126089,0.000127903
0.36,-0.0041925978,-15102.4,-0.00809748,-0.00828581,-0.00280924,0.00376167,0.00605217,-0.000385737,-0.00063043,-0.00115884,-0.00149578,-0.00162065,5.21207e-05,8.58876e-05,9.67353e-05,9.57716e-05,9.45409e-05
0.38,-0.0022474272,-10656.7,-0.0390067,-0.0495279,-0.0390838,-0.0315748,-0.0296747,-0.000856779,-0.00120857,-0.00157777,-0.00177391,-0.00185688,3.96955e-05,6.74976e-05,6.93692e-05,6.30747e-05,5.97656e-05
