time,GM_main,baseforce,acc_2,acc_4,acc_6,acc_8,acc_10,vel_2,vel_4,vel_6,vel_8,vel_10,dis_2,dis_4,dis_6,dis_8,dis_10
0.0,0.00032375972999999997,2.52504,-5.26536e-05,-5.60725e-05,-5.61659e-05,-5.61684e-05,-5.61686e-05,-5.26536e-07,-5.60725e-07,-5.61659e-07,-5.61684e-07,-5.61686e-07,-5.26536e-09,-5.60725e-09,-5.61659e-09,-5.61684e-09,-5.61686e-09
0.02,5.6558489999999997e-05,120.454,-0.00232778,-0.00249376,-0.00249878,-0.00249893,-0.00249894,-2.43308e-05,-2.6059e-05,-2.61111e-05,-2.61126e-05,-2.61127e-05,-2.53839e-07,-2.71805e-07,-2.72344e-07,-2.7236e-07,-2.72361e-07
0.04,0.0025170642,492.265,-0.00182087,-0.00261939,-0.00266591,-0.00266786,-0.00266805,-6.58173e-05,-7.71906e-05,-7.7758e-05,-7.77805e-05,-7.77826e-05,-1.15532e-06,-1.3043e-06,-1.31104e-06,-1.31129e-06,-1.31132e-06
0.06,0.0027220739999999997,835.461,0.00303034,0.00161165,0.00140527,0.00139196,0.00139032,-5.37226e-05,-8.7268e-05,-9.03645e-05,-9.05395e-05,-9.056e-05,-2.35072e-06,-2.94889e-06,-2.99226e-06,-2.99449e-06,-2.99474e-06
0.08,-0.0013271169,847.55,0.00102952,0.000390642,-0.000145534,-0.000203097,-0.000212163,-1.3124e-05,-6.7245e-05,-7.77671e-05,-7.86508e-05,-7.87784e-05,-3.01918e-06,-4.49402e-06,-4.67358e-06,-4.68639e-06,-4.68813e-06
0.1,0.00026929683,887.849,-0.00187167,-0.000699445,-0.00154403,-0.00171563,-0.00175082,-2.15455e-05,-7.03331e-05,-9.46628e-05,-9.78381e-05,-9.84083e-05,-3.36588e-06,-5.8698e-06,-6.39788e-06,-6.45128e-06,-6.45999e-06
0.12,0.0018319301999999997,1240.79,-0.000971528,0.000407253,-0.000281091,-0.000644758,-0.000744748,-4.99775e-05,-7.3255e-05,-0.000112914,-0.000121442,-0.000123364,-4.08111e-06,-7.30568e-06,-8.47365e-06,-8.64409e-06,-8.67772e-06
0.14,0.0008816216999999999,1734.64,-0.00192639,-0.00256755,-0.00247417,-0.00301293,-0.00322237,-7.89567e-05,-9.4858e-05,-0.000140467,-0.000158019,-0.000163035,-5.37045e-06,-8.98681e-06,-1.10075e-05,-1.14387e-05,-1.15417e-05
0.16,0.0034978910999999995,2335.21,-0.00135693,-0.00365405,-0.00281223,-0.0033075,-0.00361916,-0.00011179,-0.000157074,-0.000193331,-0.000221223,-0.000231451,-7.27792e-06,-1.15061e-05,-1.43454e-05,-1.52311e-05,-1.54866e-05
0.18,0.0041949387,3028.31,-0.000119639,-0.00212792,-0.00155789,-0.00166279,-0.0019421,-0.000126556,-0.000214894,-0.000237032,-0.000270926,-0.000287063,-9.66137e-06,-1.52258e-05,-1.8649e-05,-2.01526e-05,-2.06717e-05
