time,GM_main,baseforce,acc_2,acc_4,acc_6,acc_8,acc_10,vel_2,vel_4,vel_6,vel_8,vel_10,dis_2,dis_4,dis_6,dis_8,dis_10
0.0,-7.150250999999999e-07,-8.48119,0.000176855,0.000188339,0.000188652,0.000188661,0.000188661,1.76855e-06,1.88339e-06,1.88652e-06,1.88661e-06,1.88661e-06,1.76855e-08,1.88339e-08,1.88652e-08,1.88661e-08,1.88661e-08
0.02,-0.00018997092,-48.9309,0.000402296,0.000478237,0.000481946,0.000482087,0.0004821,7.56006e-06,8.54914e-06,8.5925e-06,8.59408e-06,8.59423e-06,1.10972e-07,1.23159e-07,1.23655e-07,1.23673e-07,1.23675e-07
0.04,-0.00048806744999999995,-103.75,-0.000281758,-0.000104188,-8.4884e-05,-8.3775e-05,-8.36458e-05,8.76544e-06,1.22896e-05,1.25631e-05,1.25772e-05,1.25788e-05,2.74227e-07,3.31547e-07,3.35212e-07,3.35386e-07,3.35404e-07
0.06,7.488942e-05,-120.222,-0.000245215,-9.86068e-05,-4.089e-05,-3.55448e-05,-3.47558e-05,3.49571e-06,1.02617e-05,1.13054e-05,1.1384e-05,1.13948e-05,3.96838e-07,5.5706e-07,5.73897e-07,5.74998e-07,5.7514e-07
0.08,2.6647550999999998e-05,-112.453,-3.18663e-05,-0.000121739,-1.59396e-05,1.6201e-06,4.96374e-06,7.24901e-07,8.05822e-06,1.07371e-05,1.10448e-05,1.10968e-05,4.39044e-07,7.40259e-07,7.94321e-07,7.99285e-07,8.00056e-07
0.1,-1.3787492999999997e-05,-122.035,6.40064e-05,-0.000199383,-9.08111e-05,-4.98456e-05,-3.95161e-05,1.0463e-06,4.847e-06,9.66958e-06,1.05625e-05,1.07513e-05,4.56756e-07,8.69311e-07,9.98388e-07,1.01536e-06,1.01854e-06
0.12,2.7254859e-05,-150.637,0.000193822,6.22254e-05,7.81477e-05,0.000145589,0.000169185,3.62458e-06,3.47542e-06,9.54294e-06,1.15199e-05,1.2048e-05,5.03465e-07,9.52535e-07,1.19051e-06,1.23618e-06,1.24653e-06
0.14,-0.00019370972999999998,-150.82,-0.000739898,-0.000661225,-0.000790539,-0.000719289,-0.00068044,-1.83618e-06,-2.51457e-06,2.41903e-06,5.78294e-06,6.93544e-06,5.21349e-07,9.62144e-07,1.31013e-06,1.40921e-06,1.43636e-06
0.16,0.0006318542999999999,-61.6604,-0.000656885,-0.00070831,-0.000908352,-0.000884217,-0.000843608,-1.5804e-05,-1.62099e-05,-1.45699e-05,-1.02521e-05,-8.30503e-06,3.44947e-07,7.74899e-07,1.18862e-06,1.36452e-06,1.42267e-06
0.18,0.0007529639999999998,45.3298,0.000657066,0.000242002,0.00010122,3.13542e-05,3.98859e-05,-1.58022e-05,-2.0873e-05,-2.26412e-05,-1.87808e-05,-1.63423e-05,2.88849e-08,4.0407e-07,8.16513e-07,1.07419e-06,1.1762e-06
0.2,-0.00020166215999999998,87.0966,-0.000104058,-0.000516346,-0.000586289,-0.000746036,-0.000805573,-1.02721e-05,-2.36164e-05,-2.74919e-05,-2.59276e-05,-2.39991e-05,-2.31858e-07,-4.0825e-08,3.15182e-07,6.27107e-07,7.72782e-07
0.22,0.0005708633999999999,167.118,-0.00079691,-0.000811303,-0.000940578,-0.00113011,-0.00125733,-1.92818e-05,-3.68929e-05,-4.27606e-05,-4.46891e-05,-4.46282e-05,-5.27398e-07,-6.45919e-07,-3.87343e-07,-7.90594e-08,8.65087e-08
0.24,0.0010009514999999999,420.865,-0.00182352,-0.00186043,-0.0021247,-0.00228579,-0.00242377,-4.54861e-05,-6.36103e-05,-7.34134e-05,-7.88481e-05,-8.14392e-05,-1.17508e-06,-1.65095e-06,-1.54908e-06,-1.31443e-06,-1.17417e-06
0.26,0.0022404861,802.41,-9.62465e-05,-0.000848573,-0.00115427,-0.00128539,-0.00135973,-6.46838e-05,-9.07003e-05,-0.000106203,-0.00011456,-0.000119274,-2.27678e-06,-3.19406e-06,-3.34525e-06,-3.24851e-06,-3.1813e-06
0.28,0.0013379136,1125.77,0.000771258,-0.000366586,-0.000636984,-0.000769911,-0.000764526,-5.79337e-05,-0.000102852,-0.000124116,-0.000135113,-0.000140517,-3.50295e-06,-5.12958e-06,-5.64844e-06,-5.74524e-06,-5.77921e-06
0.3,0.0009381042,1356.29,0.000126863,-0.000285784,-0.000643339,-0.000779532,-0.000761248,-4.89525e-05,-0.000109376,-0.000136919,-0.000150607,-0.000155775,-4.57182e-06,-7.25185e-06,-8.25878e-06,-8.60245e-06,-8.74212e-06
0.32,0.0011211228,1666.96,-0.00127273,-0.000767317,-0.00132035,-0.00143878,-0.0014844,-6.04112e-05,-0.000119907,-0.000156556,-0.000172791,-0.000178231,-5.66545e-06,-9.54468e-06,-1.11935e-05,-1.18364e-05,-1.20822e-05
0.34,0.0020246184,2119.86,-0.000261464,7.71705e-05,-0.000427053,-0.000558532,-0.000667167,-7.57532e-05,-0.000126808,-0.00017403,-0.000192764,-0.000199747,-7.0271e-06,-1.20118e-05,-1.44994e-05,-1.5492e-05,-1.5862e-05
0.36,0.0014199216,2527.74,0.00128793,0.000883525,0.000856819,0.000641496,0.000531233,-6.54885e-05,-0.000117201,-0.000169732,-0.000191934,-0.000201106,-8.43951e-06,-1.44519e-05,-1.7937e-05,-1.93389e-05,-1.98705e-05
0.38,0.0004949070599999999,2731.1,0.00150522,0.00130968,0.00179985,0.00153639,0.00145183,-3.7557e-05,-9.52691e-05,-0.000143166,-0.000170155,-0.000181275,-9.46997e-06,-1.65766e-05,-2.1066e-05,-2.29598e-05,-2.36943e-05
0.4,-9.320708999999998e-05,2834.02,-0.000151606,0.000799686,0.00134845,0.00124914,0.00117126,-2.40209e-05,-7.41754e-05,-0.000111683,-0.0001423,-0.000155044,-1.00857e-05,-1.82711e-05,-2.36145e-05,-2.60844e-05,-2.70575e-05
0.42,0.0005666966999999999,2997.49,-3.01484e-05,0.00142937,0.0017174,0.00198141,0.00195248,-2.58385e-05,-5.18849e-05,-8.10243e-05,-0.000109994,-0.000123807,-1.05843e-05,-1.95317e-05,-2.55415e-05,-2.86073e-05,-2.9846e-05
0.44,0.00020227416,3136.88,0.00146251,0.00226599,0.00257981,0.00314436,0.00330248,-1.15149e-05,-1.49313e-05,-3.80523e-05,-5.87367e-05,-7.12574e-05,-1.09579e-05,-2.01998e-05,-2.67323e-05,-3.02946e-05,-3.17967e-05
0.46,-0.0007378323,3105.71,0.00104826,0.0012937,0.0020747,0.00267709,0.00308343,1.35928e-05,2.06657e-05,8.49283e-06,-5.22193e-07,-7.39829e-06,-1.09371e-05,-2.01425e-05,-2.70279e-05,-3.08872e-05,-3.25832e-05
0.48,-0.00022670417999999998,2952.62,0.000528341,0.00107309,0.00220969,0.00271785,0.00319007,2.93589e-05,4.43336e-05,5.13368e-05,5.34273e-05,5.53367e-05,-1.05076e-05,-1.94925e-05,-2.64296e-05,-3.03582e-05,-3.21038e-05
0.5,-0.00030735762,2844.61,-0.00142667,-0.000626321,0.000311421,0.000844916,0.00110515,2.03756e-05,4.88012e-05,7.65479e-05,8.9055e-05,9.8289e-05,-1.00102e-05,-1.85611e-05,-2.51508e-05,-2.89334e-05,-3.05676e-05
0.52,0.0015108036,2779.56,0.00156527,0.00186314,0.00232063,0.00295712,0.00297434,2.17616e-05,6.11694e-05,0.000102868,0.000127075,0.000139084,-9.58886e-06,-1.74614e-05,-2.33566e-05,-2.67721e-05,-2.81938e-05
0.54,-0.0007885823999999999,2550.49,0.00125549,0.0011613,0.00134175,0.00185368,0.00189104,4.99691e-05,9.14139e-05,0.000139492,0.000175183,0.000187738,-8.87155e-06,-1.59356e-05,-2.0933e-05,-2.37495e-05,-2.49256e-05
0.56,-0.00014463905999999999,2208.36,-0.000450227,-8.69656e-05,1.35012e-05,8.23396e-05,0.000307794,5.80217e-05,0.000102157,0.000153045,0.000194543,0.000209726,-7.79165e-06,-1.39999e-05,-1.80076e-05,-2.00522e-05,-2.0951e-05
0.58,0.0009994010999999998,1936.38,-0.000171023,0.000539118,0.000467921,9.73467e-05,0.000282965,5.18092e-05,0.000106679,0.000157859,0.00019634,0.000215634,-6.69334e-06,-1.19115e-05,-1.48986e-05,-1.61434e-05,-1.66974e-05
0.6,0.00045108938999999996,1630.87,0.00128476,0.00146554,0.00115947,0.000670643,0.000464862,6.29467e-05,0.000126725,0.000174133,0.00020402,0.000223112,-5.54578e-06,-9.57749e-06,-1.15787e-05,-1.21398e-05,-1.23099e-05
0.62,-0.000422178,1200.01,0.000322733,4.28863e-05,-0.00030438,-0.000688421,-0.00124527,7.90216e-05,0.00014181,0.000182684,0.000203842,0.000215308,-4.12609e-06,-6.89214e-06,-8.01053e-06,-8.06113e-06,-7.92573e-06
0.64,0.0007535148,742.717,8.72089e-05,4.58716e-05,-0.000174488,-0.000523369,-0.000980026,8.3121e-05,0.000142697,0.000177895,0.000191724,0.000193055,-2.50467e-06,-4.04708e-06,-4.40474e-06,-4.10546e-06,-3.8421e-06
0.66,0.00033856707,323.057,-0.00103483,-0.000994634,-0.00118778,-0.00157668,-0.00161234,7.36448e-05,0.00013321,0.000164272,0.000170724,0.000167131,-9.37008e-07,-1.28801e-06,-9.83072e-07,-4.8098e-07,-2.40244e-07
0.68,0.0011150588999999998,-26.5735,-0.000810063,-0.00131368,-0.00162131,-0.00187307,-0.00165491,5.51959e-05,0.000110126,0.000136181,0.000136227,0.000134459,3.51399e-07,1.14535e-06,2.02146e-06,2.58853e-06,2.77565e-06
0.7000000000000001,0.0013055489999999998,-318.478,0.000139972,-0.000787479,-0.00113972,-0.00103915,-0.000922019,4.8495e-05,8.91148e-05,0.000108571,0.000107104,0.000108689,1.38831e-06,3.13776e-06,4.46899e-06,5.02183e-06,5.20713e-06
0.72,0.0005560682999999999,-573.956,-0.00123236,-0.00201269,-0.00227625,-0.00192248,-0.00196549,3.75711e-05,6.11131e-05,7.44114e-05,7.7488e-05,7.98143e-05,2.24897e-06,4.64004e-06,6.29881e-06,6.86776e-06,7.09217e-06
0.74,0.0015155976,-695.916,-0.00169727,-0.00231357,-0.00252362,-0.00226227,-0.00224663,8.27484e-06,1.78505e-05,2.64127e-05,3.56405e-05,3.76931e-05,2.70743e-06,5.42968e-06,7.30705e-06,7.99904e-06,8.26724e-06
0.76,0.0017670786,-669.141,-0.00041765,-0.00121779,-0.00149632,-0.0015307,-0.00137374,-1.28743e-05,-1.74631e-05,-1.37867e-05,-2.28915e-06,1.48938e-06,2.66143e-06,5.43355e-06,7.43331e-06,8.33255e-06,8.65907e-06
0.78,0.0008530871999999999,-528.614,-0.00167987,-0.00257118,-0.00293852,-0.00318191,-0.0030912,-3.38495e-05,-5.53528e-05,-5.8135e-05,-4.94153e-05,-4.316e-05,2.1942e-06,4.70539e-06,6.71409e-06,7.81551e-06,8.24236e-06
