time,GM_main,baseforce,acc_2,acc_4,acc_6,acc_8,acc_10,vel_2,vel_4,vel_6,vel_8,vel_10,dis_2,dis_4,dis_6,dis_8,dis_10
0.0,0.048153027,-525.235,0.0109525,0.0116637,0.0116831,0.0116836,0.0116837,0.000109525,0.000116637,0.000116831,0.000116836,0.000116837,1.09525e-06,1.16637e-06,1.16831e-06,1.16836e-06,1.16837e-06
0.02,-0.011764781999999998,-1388.43,-0.00932259,-0.0068427,-0.00667374,-0.00666661,-0.00666592,0.000125824,0.000164847,0.000166925,0.000167007,0.000167014,3.44875e-06,3.98121e-06,4.00587e-06,4.00679e-06,4.00688e-06
0.04,0.006549879,-324.52,-0.0250201,-0.0241592,-0.0235569,-0.0235123,-0.0235066,-0.000217603,-0.000145172,-0.000135382,-0.000134782,-0.00013471,2.53096e-06,4.17796e-06,4.32131e-06,4.32904e-06,4.32992e-06
0.06,0.023598873,1625.56,0.0233238,0.0167923,0.0177919,0.0179561,0.0179846,-0.000234566,-0.00021884,-0.000193032,-0.000190344,-0.00018993,-1.99073e-06,5.37841e-07,1.03718e-06,1.07778e-06,1.08351e-06
0.08,-0.017860914,1369.65,-0.000128649,-0.00874128,-0.00855043,-0.00817537,-0.00808112,-2.61402e-06,-0.00013833,-0.000100617,-9.25361e-05,-9.08957e-05,-4.36253e-06,-3.03387e-06,-1.8993e-06,-1.75101e-06,-1.72475e-06
0.1,0.008105072999999999,1430.69,-0.0153316,-0.0147107,-0.0171965,-0.0167245,-0.0165167,-0.000157217,-0.00037285,-0.000358085,-0.000341534,-0.000336874,-5.96084e-06,-8.14567e-06,-6.48632e-06,-6.09172e-06,-6.00244e-06
0.12,0.016611617999999998,3231.27,0.00928433,0.015247,0.0102053,0.010187,0.0104513,-0.00021769,-0.000367488,-0.000427997,-0.000406909,-0.000397528,-9.70991e-06,-1.55491e-05,-1.43472e-05,-1.35762e-05,-1.33465e-05
0.14,-0.010548635999999998,3544.56,0.0117935,0.0125179,0.00839468,0.0070016,0.00699517,-6.91149e-06,-8.98389e-05,-0.000241998,-0.000235023,-0.000223063,-1.19559e-05,-2.01223e-05,-2.10471e-05,-1.99955e-05,-1.95524e-05
0.16,-0.007593389999999999,2677.4,-0.00440446,-0.00480188,-0.00444333,-0.0074666,-0.00831131,6.69793e-05,-1.26788e-05,-0.000202485,-0.000239673,-0.000236224,-1.13552e-05,-2.11475e-05,-2.54919e-05,-2.47424e-05,-2.41452e-05
0.18,0.0074048429999999995,2945.35,-0.00284909,0.00199931,0.00627633,0.00290366,0.000935555,-5.55618e-06,-4.07044e-05,-0.000184155,-0.000285302,-0.000309982,-1.0741e-05,-2.16813e-05,-2.93583e-05,-2.99922e-05,-2.96073e-05
0.2,-0.0014996243999999999,3774.76,-0.00643217,-0.00380226,0.000671056,-0.000744068,-0.00306142,-9.83687e-05,-5.87339e-05,-0.000114681,-0.000263706,-0.00033124,-1.17803e-05,-2.26757e-05,-3.23467e-05,-3.54823e-05,-3.60195e-05
0.22,0.0040836006,6834.17,-0.0501095,-0.0586708,-0.056556,-0.0546294,-0.0554326,-0.000663785,-0.000683464,-0.00067353,-0.000817441,-0.00091618,-1.94018e-05,-3.00977e-05,-4.02288e-05,-4.62938e-05,-4.84937e-05
0.24,0.059845949999999995,12293.4,0.030163,0.0122358,0.0114204,0.0157846,0.0180069,-0.000863251,-0.00114781,-0.00112489,-0.00120589,-0.00129044,-3.46722e-05,-4.84105e-05,-5.82129e-05,-6.65271e-05,-7.05599e-05
0.26,-0.009975089999999999,14147.7,0.0270804,0.01354,0.00863061,0.0130063,0.0175219,-0.000290817,-0.000890055,-0.000924377,-0.000917981,-0.000935149,-4.62128e-05,-6.87892e-05,-7.87056e-05,-8.77658e-05,-9.28157e-05
